bID,bRad,LamSites,Class,DomainID,Chr,StartLoc,EndLoc,TAD_length,Genomic length of genes,Radius(nm),EpiClass,WT_Probability_NE0.2,Mutant_Probability_NE0.2,Sum_of_Contacts_with_Active_TADs,Radii,Surface_area,Reads_Rep1_WT,Reads_Rep2_WT,Reads_Rep1_Mut,Reads_Rep2_Mut,WT_RPKMT,Mut_RPKMT,WT_RPKMTL,Mut_RPKMTL,Bin_ALL_TADs,Bin_LTADs,Bin_NonLTADs
0,0.09,1,L-TADs,1,2L,67150,156849,89700,63288,71.8,Active,0.516657,0.205678,6748.58,0.09,0.033939,31259,29882,34344,35557,31.32739522,34.5094048,22.10310132,24.34817403,6,4,
1,0.09,0,NonL-TADs,2,2L,156850,250149,93300,93064,72.75,Null,0.370854,0.159126,9537.66,0.09,0.033939,18744,13561,20754,20552,11.25644232,13.86777789,11.22796943,13.83269969,5,,6
2,0.07,0,NonL-TADs,3,2L,250150,295749,45600,50554,57.31,Active,0.347361,0.133478,3125.41,0.07,0.020531,15416,12811,14039,13938,18.10599179,17.2910382,20.07303309,19.16954266,5,,6
3,0.1,1,L-TADs,4,2L,295750,421449,125700,90798,80.35,HP1/centro,0.412228,0.12448,8091.74,0.1,0.0419,95490,91534,98530,93614,66.79349654,66.11895738,48.24754096,47.76029508,5,3,
4,0.07,0,NonL-TADs,5,2L,421450,472049,50600,34536,59.33,HP1/centro,0.306351,0.109989,1622.83,0.07,0.020531,19096,17470,21336,21760,34.33353644,38.98884577,23.43365642,26.61104303,4,,5
5,0.05,0,NonL-TADs,6,2L,472050,488649,16600,6402,40.92,Active,0.272486,0.10244,0,0.05,0.010475,15319,11341,14526,13730,135.0384969,137.9019679,52.07930464,53.18363846,4,,5
6,0.08,0,NonL-TADs,7,2L,488650,542149,53500,18413,60.44,PcG,0.262985,0.0992175,3041.7,0.08,0.026816,14924,13620,14131,14643,50.26936502,48.82599898,17.3011181,16.80435737,4,,5
7,0.13,1,L-TADs,8,2L,542150,809749,267600,150774,103.37,PcG,0.431012,0.0908547,12316.5,0.13,0.070811,36889,35790,36500,37775,15.63131829,15.39187952,8.807161373,8.672254272,5,3,
8,0.05,0,NonL-TADs,9,2L,809750,821449,11700,13067,36.41,Active,0.307051,0.087185,1171.12,0.05,0.010475,5363,5112,5471,5750,25.99508611,26.8306456,29.03228976,29.96547402,4,,5
9,0.06,0,NonL-TADs,10,2L,821450,852449,31000,27745,50.39,Active,0.303318,0.0916625,1591.25,0.06,0.015084,6718,4767,6119,6024,13.4233029,13.67466568,12.0138561,12.23882578,4,,5
10,0.05,0,NonL-TADs,11,2L,852450,870849,18400,18505,42.35,Active,0.325562,0.0920014,1386.64,0.05,0.010475,9616,8797,9285,10506,32.26625663,33.4159722,32.45038472,33.60666117,4,,5
11,0.12,1,L-TADs,12,2L,870850,1078849,208000,118382,95.04,Null,0.451767,0.104198,13479,0.12,0.060336,7375,6815,6908,6852,3.886957951,3.631685337,2.212239693,2.066952758,5,3,
12,0.06,0,NonL-TADs,13,2L,1078850,1107549,28700,29732,49.11,Active,0.29469,0.0907613,3409.68,0.06,0.015084,3579,3108,3514,3614,7.293236873,7.490641606,7.555488456,7.759991506,4,,5
